2026-06-12 23:05:30 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 6200)
2026-06-12 23:05:31 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 6300)
2026-06-12 23:05:32 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 6400)
2026-06-12 23:05:32 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 6500)
2026-06-12 23:05:33 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 6600)
2026-06-12 23:05:33 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 6700)
2026-06-12 23:05:34 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 6800)
2026-06-12 23:05:35 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 6900)
2026-06-12 23:05:35 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 7000)
2026-06-12 23:05:36 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 7100)
2026-06-12 23:05:36 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 7200)
2026-06-12 23:05:37 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 7300)
2026-06-12 23:05:37 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 7400)
2026-06-12 23:05:38 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 7500)
2026-06-12 23:05:39 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 7600)
2026-06-12 23:05:39 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 7700)
2026-06-12 23:05:40 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 7800)
2026-06-12 23:05:40 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 7900)
2026-06-12 23:05:41 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 8000)
2026-06-12 23:05:42 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 8100)
2026-06-12 23:05:42 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 8200)
2026-06-12 23:05:43 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 8300)
2026-06-12 23:05:43 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 8400)
2026-06-12 23:05:44 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 8500)
2026-06-12 23:05:44 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 8600)
2026-06-12 23:05:45 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 8700)
2026-06-12 23:05:46 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 8800)
2026-06-12 23:05:46 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 8900)
2026-06-12 23:05:47 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 9000)
2026-06-12 23:05:47 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 9100)
2026-06-12 23:05:48 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 9200)
2026-06-12 23:05:49 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 9300)
2026-06-12 23:05:49 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 9400)
2026-06-12 23:05:50 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 9500)
2026-06-12 23:05:50 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 9600)
2026-06-12 23:05:51 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 9700)
2026-06-12 23:05:52 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 9800)
2026-06-12 23:05:52 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 9900)
2026-06-12 23:05:53 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 10000)
2026-06-12 23:05:53 | INFO     | src.data.polymarket | Polymarket NFL: fetched 100 events (total: 10100)
2026-06-12 23:05:54 | ERROR    | src.data.polymarket | Polymarket events fetch failed at offset 10100: 422 Client Error: Unprocessable Entity for url: https://gamma-api.polymarket.com/events?closed=true&tag=nfl&limit=100&offset=10100
2026-06-12 23:05:55 | INFO     | src.data.polymarket | Polymarket: loaded 9975 resolved NFL contracts
Traceback (most recent call last):
  File "/Users/ansh/Desktop/prism/scripts/ingest_markets.py", line 42, in <module>
    main()
    ~~~~^^
  File "/Users/ansh/Desktop/prism/scripts/ingest_markets.py", line 20, in main
    db.upsert_dataframe("contracts", contracts)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: PrismDatabase.upsert_dataframe() missing 1 required positional argument: 'primary_key'
